"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000076731","ENSMUSG00000076731","Ighv8-12",-3.24812146214251,3.73196539668065,58.1114581467727,2.47679480062046e-14,4.26974655678961e-10
"ENSMUSG00000073418","ENSMUSG00000073418","C4b",-0.97990727440357,8.62138180230878,45.8573876398578,1.27182592130929e-11,1.09625035287255e-07
"ENSMUSG00000076612","ENSMUSG00000076612","Ighg2c",-2.6068031128806,5.5339701404128,44.5797327189541,2.44206572789471e-11,1.25500142990683e-07
"ENSMUSG00000053093","ENSMUSG00000053093","Myh7",0.858917531130629,7.10583622787707,43.8605546576471,3.526244105752e-11,1.25500142990683e-07
"ENSMUSG00000012428","ENSMUSG00000012428","Steap4",-0.847296993744931,5.2266246139941,43.798409891612,3.64000646762234e-11,1.25500142990683e-07
"ENSMUSG00000093861","ENSMUSG00000093861","Igkv1-110",-2.34419360364699,5.32497500273019,42.7254133188955,6.29886264026799e-11,1.809768217593e-07
"ENSMUSG00000001865","ENSMUSG00000001865","Cpa3",-2.70306296690152,4.66393319415798,40.7077679488042,1.76783031327259e-10,4.27973478778276e-07
"ENSMUSG00000044041","ENSMUSG00000044041","Krt13",9.86895849844302,5.26534712009075,40.2808905698232,2.19949892877561e-10,4.27973478778276e-07
"ENSMUSG00000094797","ENSMUSG00000094797","Igkv6-15",-2.47767822375748,5.48339655115372,40.1417828035065,2.36182879321517e-10,4.27973478778276e-07
"ENSMUSG00000033825","ENSMUSG00000033825","Tpsb2",-3.9372264162382,4.98229290418191,40.0443727586811,2.48258877416484e-10,4.27973478778276e-07
"ENSMUSG00000022225","ENSMUSG00000022225","Cma1",-3.40193156242696,4.58367255261458,39.5805328819711,3.14805797318222e-10,4.93357921815348e-07
"ENSMUSG00000076934","ENSMUSG00000076934","Iglv1",-2.26139145621593,5.01045203698993,37.7140359586503,8.19130443492575e-10,1.15864099773829e-06
"ENSMUSG00000005339","ENSMUSG00000005339","Fcer1a",-3.12686715256347,1.5475665384883,37.5881520511318,8.73735887847192e-10,1.15864099773829e-06
"ENSMUSG00000067149","ENSMUSG00000067149","Jchain",-2.40410234093215,9.29146130342748,37.0926233830243,1.1264906630672e-09,1.38711232432968e-06
"ENSMUSG00000096464","ENSMUSG00000096464","Ighv2-2",-2.08811596267583,3.56658265525773,36.6946781451531,1.38156082064421e-09,1.58375338715048e-06
"ENSMUSG00000095923","ENSMUSG00000095923","Ighv1-37",-5.81560253182417,1.13726196673745,36.5738213319026,1.46992599306269e-09,1.58375338715048e-06
"ENSMUSG00000095127","ENSMUSG00000095127","Ighv1-82",-3.40014851338275,2.40853698971515,36.3622186179965,1.63848788322369e-09,1.64482456646526e-06
"ENSMUSG00000094075","ENSMUSG00000094075","Ighv1-80",-3.20727223145879,3.43357573971776,36.2705060778004,1.71743385326148e-09,1.64482456646526e-06
"ENSMUSG00000034457","ENSMUSG00000034457","Eda2r",-1.58708568673754,3.75293056355503,35.8091857088432,2.17619441218296e-09,1.974495551138e-06
"ENSMUSG00000030237","ENSMUSG00000030237","Slco1a4",-4.09493056052765,0.583261924680741,34.2398080635952,4.87220414313129e-09,4.19959636117201e-06
"ENSMUSG00000105906","ENSMUSG00000105906","Iglc1",-2.04639389441837,4.7027215962861,33.8691708642639,5.89453817900665e-09,4.83885446037598e-06
"ENSMUSG00000076609","ENSMUSG00000076609","Igkc",-2.11906304328535,10.2086410097143,33.3495623739387,7.69951443100177e-09,6.03326951254725e-06
"ENSMUSG00000096670","ENSMUSG00000096670","Ighv2-6",-2.4790227110965,3.85678624245914,32.7670913547214,1.03888820907986e-08,7.7866929723164e-06
"ENSMUSG00000095771","ENSMUSG00000095771","Igkv14-111",-2.22304741298216,3.86960120598271,32.5922031894255,1.13669832674189e-08,8.16480935612645e-06
"ENSMUSG00000076523","ENSMUSG00000076523","Igkv15-103",-2.49402446630281,4.16221323245618,32.4614994053522,1.21577410063362e-08,8.38349188832921e-06
"ENSMUSG00000061068","ENSMUSG00000061068","Mcpt4",-3.09537104663964,5.14671831120878,32.3272524420163,1.30273362740859e-08,8.63762500111414e-06
"ENSMUSG00000094951","ENSMUSG00000094951","Ighv5-6",-1.97948470700897,4.31683741088254,32.1819387440858,1.40389765238018e-08,8.93113065638721e-06
"ENSMUSG00000096833","ENSMUSG00000096833","Igkv4-55",-2.98053194145385,3.52338025424381,32.1183381207875,1.45061580357818e-08,8.93113065638721e-06
"ENSMUSG00000095612","ENSMUSG00000095612","Ighv5-4",-1.92162206397601,4.73284005730122,31.7415480830018,1.76114005591207e-08,1.04690666978855e-05
"ENSMUSG00000076522","ENSMUSG00000076522","Igkv16-104",-3.054347697808,4.54015356075138,31.5737946542446,1.92003194157198e-08,1.10038046477477e-05
"ENSMUSG00000043165","ENSMUSG00000043165","Lor",8.01734713127059,5.30054523564829,31.5152926570089,1.97875714415094e-08,1.10038046477477e-05
"ENSMUSG00000031665","ENSMUSG00000031665","Sall1",-2.49600851398403,1.02331099067866,31.3762433562792,2.12565968332998e-08,1.14513272752892e-05
"ENSMUSG00000030954","ENSMUSG00000030954","Gp2",-2.58582951869053,2.28812412623282,31.0181974996144,2.55620529709814e-08,1.30399434667638e-05
"ENSMUSG00000095630","ENSMUSG00000095630","Igkv6-23",-2.32776916810707,4.47607976403684,31.0063684835087,2.57183176442931e-08,1.30399434667638e-05
"ENSMUSG00000041202","ENSMUSG00000041202","Pla2g2d",-1.22029040059131,4.32135380684575,30.5383131146993,3.27337792157925e-08,1.61227891400299e-05
"ENSMUSG00000095210","ENSMUSG00000095210","Ighv5-9-1",-2.04235711390655,4.51979374884014,30.3003257867881,3.70063742246537e-08,1.77209134794113e-05
"ENSMUSG00000095429","ENSMUSG00000095429","Ighv5-12",-2.00372576792612,5.32269371914246,30.1055804609231,4.09152147070645e-08,1.90631726036509e-05
"ENSMUSG00000069515","ENSMUSG00000069515","Lyz1",-1.37558795210679,9.38461367134551,29.7699725581641,4.86468623563392e-08,2.20690331621298e-05
"ENSMUSG00000009185","ENSMUSG00000009185","Ccl8",-2.31178411627207,3.07839843866705,29.674658633023,5.10984661022488e-08,2.25868322342735e-05
"ENSMUSG00000036896","ENSMUSG00000036896","C1qc",-1.01350303881901,5.65487660544563,29.3599982111376,6.01056066516628e-08,2.59040138267004e-05
"ENSMUSG00000095866","ENSMUSG00000095866","Ighv2-4",-3.25036173374932,-0.0561709829773106,29.2347934630091,6.41174474109848e-08,2.6959040876048e-05
